# Part of a Penrose tessellation.
c	0.8	0.4	0.4
t	274	436	280	418	285	436
t	274	436	259	446	265	429
t	274	436	259	446	277	446
t	259	446	241	446	256	436
t	294	429	280	418	285	436
t	300	446	294	429	289	446
t	300	446	294	429	309	440
t	247	429	241	446	236	429
t	241	412	247	429	232	418
t	241	412	247	429	253	412
t	227	436	241	446	223	446
t	227	436	241	446	236	429
t	227	436	209	436	223	446
t	227	436	209	436	223	425
t	209	436	194	446	212	446
t	262	384	247	374	265	374
t	262	384	247	374	253	391
t	262	384	280	384	265	374
t	262	384	280	384	265	395
t	280	384	294	374	276	374
t	262	363	247	374	265	374
t	262	363	247	374	253	356
t	262	363	280	363	265	374
t	262	363	280	363	265	352
t	280	363	294	374	276	374
t	241	356	247	374	253	356
t	247	339	241	356	256	346
t	247	339	241	356	236	339
t	241	391	247	374	232	384
t	241	391	247	374	253	391
t	241	391	227	401	232	384
t	241	391	227	401	245	401
t	227	401	209	401	223	391
t	229	374	247	374	232	384
t	229	374	247	374	232	363
t	229	374	214	384	232	384
t	229	374	214	384	220	367
t	214	384	209	401	223	391
t	241	356	247	374	232	363
t	227	346	241	356	223	356
t	227	346	241	356	236	339
t	227	401	209	401	223	412
t	241	412	227	401	232	418
t	241	412	227	401	245	401
t	214	418	209	401	203	418
t	214	418	209	401	223	412
t	214	418	209	436	203	418
t	214	418	209	436	223	425
t	209	436	194	446	200	429
t	262	329	280	329	265	339
t	247	339	262	329	256	346
t	247	339	262	329	244	329
t	274	346	280	329	285	346
t	274	346	280	329	265	339
t	274	346	280	363	285	346
t	274	346	280	363	265	352
t	280	363	294	374	289	356
t	247	318	241	301	256	312
t	247	318	241	301	236	318
t	247	318	262	329	256	312
t	247	318	262	329	244	329
t	262	329	280	329	265	318
t	259	301	241	301	256	312
t	259	301	241	301	256	290
t	259	301	274	312	256	312
t	259	301	274	312	268	294
t	274	312	280	329	265	318
t	247	284	241	301	256	290
t	262	273	247	284	265	284
t	262	273	247	284	253	267
t	327	384	332	401	318	391
t	327	384	332	401	338	384
t	327	384	312	374	318	391
t	327	384	312	374	330	374
t	312	374	294	374	309	384
t	314	401	332	401	318	391
t	314	401	332	401	318	412
t	314	401	300	391	318	391
t	314	401	300	391	305	408
t	300	391	294	374	309	384
t	327	418	332	401	318	412
t	312	429	327	418	309	418
t	312	429	327	418	321	436
t	347	391	332	401	350	401
t	347	391	332	401	338	384
t	347	391	365	391	350	401
t	347	391	365	391	350	380
t	365	391	380	401	362	401
t	347	412	332	401	350	401
t	347	412	332	401	338	418
t	347	412	365	412	350	401
t	347	412	365	412	350	423
t	365	412	380	401	362	401
t	327	418	332	401	338	418
t	332	436	327	418	341	429
t	332	436	327	418	321	436
t	365	391	380	401	374	384
t	359	374	365	391	371	374
t	359	374	365	391	350	380
t	385	384	380	401	394	391
t	385	384	380	401	374	384
t	385	384	400	374	394	391
t	385	384	400	374	382	374
t	400	374	418	374	403	384
t	327	363	332	346	318	356
